"";"text";"created_at";"screen_name";"status_id";"favorite_count";"retweet_count";"hashtags";"is_retweet";"is_quote"
"107";"A big congratulations to @Madison_Keys on her 6-3 6-4 victory to move into the 4th round of the   United States  flexed biceps  grinning face  star-struck  clapping hands  thumbs up ";"2018-01-20 01:30:16";"Romaine55";"954526457015029760";0;0;"AusOpen";FALSE;FALSE
"108";"Yesss Madi clapping hands  clapping hands  I can see she's got a fire burning inside after reaching the #USOpen final last year and falling short.
 #TeamKeys";"2018-01-20 01:30:11";"ruenoor";"954526435749875712";0;0;"USOpen AusOpen TeamKeys";FALSE;FALSE
"109";"LIVE: We have our first big name through today ... but another is having a tough time on centre court -   ";"2018-01-20 01:30:09";"heraldsunsport";"954526427763781633";2;1;"AusOpen";FALSE;FALSE
"110";"One game away.

@Simona_Halep is closing in on the second set. @LaurenDavis93 serving to stay in it.

 ";"2018-01-20 01:30:08";"FSAsiaLive";"954526422676090880";0;0;"AusOpen";FALSE;FALSE
"111";"A Keys-Garcia 4th round match would be  fire  fire  fire  fire 
";"2018-01-20 01:30:02";"MTKigz";"954526397619408896";0;0;"AusOpen";FALSE;FALSE
"112";"Here's one for the #tennis nerds! Go in-depth on racket tech and more with the @yonex_com International Stringing Team.  #aoradio ";"2018-01-20 01:29:59";"JamesRParkinson";"954526386512846848";1;0;"tennis AusOpen aoradio";FALSE;FALSE
"113";"I think why Australia is starting to get on #Kyrgios bandwagon because he claimed to not care about tennis. Last nights  shows he does care... And we care too";"2018-01-20 01:29:55";"Crossy333";"954526369718853632";0;0;"Kyrgios AusOpen";FALSE;FALSE
"114";"This should be a great match later!!  ";"2018-01-20 01:29:46";"LeeFergusson";"954526330774749189";0;0;"AusOpen";FALSE;TRUE
"115";"#Keys advances to the fourth round where a much tougher test awaits her ---&gt; winner of #Sasnovich vs #Garcia
";"2018-01-20 01:29:36";"MertovsTDesk";"954526288378847234";0;0;"Keys Sasnovich Garcia AusOpen";FALSE;FALSE
"116";"@AustralianOpen @HisenseArena Mat's is still sexy  face blowing a kiss 

#Wilander ";"2018-01-20 01:29:15";"djmm1962";"954526203259518977";1;0;"Wilander AusOpen";FALSE;FALSE
"117";"Madison Keys cleanly into second week of , beating Ana Bogdan 6-3, 6-4.

Awaits a tough one vs winner of Sasnovich-Garcia. ";"2018-01-20 01:29:08";"BenRothenberg";"954526172678840320";23;3;"AusOpen AusOpen";FALSE;FALSE
"118";"Halep v. Davis match turning out to be a great one so far, Halep is a break in the 2nd set and about to push it to a 3rd ";"2018-01-20 01:29:07";"kemal_atlay";"954526167565922304";0;0;"AusOpen";FALSE;FALSE
"119";"Lock @Madison_Keys in for 4R!  locked with key 

 ";"2018-01-20 01:29:05";"AustralianOpen";"954526160481746945";86;27;"AusOpen";FALSE;FALSE
"120";"Sick of getting stiffed by chokers? @ladbrokescomau is offering early payouts on all men's singles matches at the Australian Open.  #AustralianOpen #AustralianOpen2018 ";"2018-01-20 01:28:59";"bookies_online";"954526133915148288";1;0;"AusOpen AustralianOpen AustralianOpen2018";FALSE;FALSE
"121";"@Simona_Halep leading 4-3 with a break in the 2nd set @LaurenDavis93 @AustralianOpen after losing the 1st set 4-6 gripping contest on RLA  #AustralianOpen #7Tennis #WTA";"2018-01-20 01:28:56";"WtaTour2";"954526122619813889";0;0;"AusOpen AustralianOpen 7Tennis WTA";FALSE;FALSE
"122";"My predictions seem to have jinxed everyone. Fully prepared for Gasquet to see off Fed now  neutral face  ";"2018-01-20 01:28:55";"thesamuelcooke";"954526118815682560";0;0;"AusOpen";FALSE;FALSE
"123";"Would love to see Safarova beat Pliskova. Can't have Pliskova sneaking a Slam. #ausopen";"2018-01-20 01:28:52";"WTAAddict";"954526106480140288";3;0;"ausopen";FALSE;FALSE
"124";"ALL AND ALL THE BEST TO YOU,@MariaSharapova G FOR YOUR MATCH AGAINST @AngeliqueKerber G IN TODAY'S  MATCH!!!!!";"2018-01-20 01:28:10";"ShravanSaxena";"954525931170918400";0;0;"AusOpen";FALSE;FALSE
"125";"Few points from the Lauren Davis and Simona Halep match  #tennis #wta #atp ";"2018-01-20 01:28:09";"ByramWorld";"954525924602646529";0;0;"AusOpen tennis wta atp";FALSE;FALSE
"126";"Get a couple cocktails in you tonight @sweetlou025 Del Potro bomb later... ";"2018-01-20 01:28:07";"NickCianci1";"954525916599857152";2;0;"AusOpen";FALSE;FALSE
